Gid	Name	CPM-nCoV1	CPM-nCoV2	CPM-Ctrl1	CPM-Ctrl2	CPM-Ctrl3	baseMean(Counts)	log2FoldChange	lfcSE	stat	pvalue	padj	Tag
ENSG00000173163.10	COMMD1	13.06	9.16	28.13	24.67	28.28	100.57	0.01	0.24	0.05	9.63E-01	9.81E-01	NC
ENSG00000170340.11	B3GNT2	17.14	22.55	185.4	175.26	190.7	384.92	-1.94	0.38	-5.09	0.00E+00	0.00E+00	NC
ENSG00000115504.14	EHBP1	25.3	12.68	16.34	17.92	18.71	115.35	1.29	0.49	2.63	8.60E-03	2.31E-02	NC
ENSG00000286480.1	AC009501.3	0.82	12.68	0.02	0.03	0	41.75	10.18	1.65	6.17	0.00E+00	0.00E+00	NC
ENSG00000014641.19	MDH1	81.6	73.99	337.2	320.03	341.99	946.55	-0.74	0.16	-4.68	0.00E+00	0.00E+00	NC
ENSG00000169764.15	UGP2	85.68	79.63	337.65	292.15	359.25	924.68	-0.73	0.17	-4.26	0.00E+00	1.00E-04	NC
ENSG00000143952.20	VPS54	35.09	38.41	85.43	86.23	92.64	332.05	0.07	0.18	0.37	7.11E-01	8.29E-01	NC
ENSG00000197329.12	PELI1	42.43	16.91	31.97	51.42	26.76	202.27	0.93	0.4	2.31	2.08E-02	4.84E-02	NC
ENSG00000119862.13	LGALSL	3.26	16.21	17.53	18.95	9.77	69.04	0.53	0.92	0.58	5.62E-01	7.23E-01	NC
ENSG00000119844.15	AFTPH	60.79	41.58	128.48	129.87	121.67	459.57	-0.01	0.16	-0.09	9.29E-01	9.61E-01	NC
ENSG00000179833.4	SERTAD2	26.11	44.4	100.39	102.87	97.5	339.74	-0.18	0.34	-0.53	5.98E-01	7.50E-01	NC
ENSG00000115902.11	SLC1A4	6.53	8.81	47.14	44.17	46.54	112.25	-1.26	0.26	-4.87	0.00E+00	0.00E+00	NC
ENSG00000011523.14	CEP68	19.58	16.21	16.86	16.35	19.35	107.89	1.24	0.3	4.15	0.00E+00	2.00E-04	NC
ENSG00000138069.18	RAB1A	218.69	161.73	287.74	281.03	243.82	1362.17	0.75	0.11	6.57	0.00E+00	0.00E+00	NC
ENSG00000138071.13	ACTR2	317.43	238.89	940.83	1022.17	1051.38	2959.79	-0.58	0.1	-6.1	0.00E+00	0.00E+00	NC
ENSG00000198369.10	SPRED2	35.9	14.09	29.19	24.02	26.07	160.6	1.13	0.36	3.13	1.80E-03	5.80E-03	NC
ENSG00000143995.20	MEIS1	2.45	5.29	0.41	0.31	0.28	20.36	4.88	0.56	8.74	0.00E+00	0.00E+00	Up
ENSG00000143971.9	ETAA1	20.4	0.7	16.54	17.25	18.75	74.49	0.38	1.11	0.34	7.33E-01	8.42E-01	NC
ENSG00000197223.11	C1D	12.24	16.21	28.67	33.22	31.76	127.57	0.25	0.43	0.58	5.64E-01	7.25E-01	NC
ENSG00000115946.8	PNO1	5.71	13.39	27.97	32.09	28.93	93.22	-0.35	0.5	-0.7	4.83E-01	6.45E-01	NC
ENSG00000221823.11	PPP3R1	12.24	10.57	62.33	68	58.61	155.36	-1.17	0.22	-5.38	0.00E+00	0.00E+00	NC
ENSG00000115956.10	PLEK	173.4	105.7	379.26	327.48	431.49	1277.1	-0.2	0.17	-1.14	2.53E-01	3.84E-01	NC
ENSG00000204923.4	FBXO48	13.87	12.68	9.3	10.79	8.93	92.81	1.86	0.33	5.69	0.00E+00	0.00E+00	NC
ENSG00000169621.10	APLF	22.85	9.87	3.69	3.44	4.83	82.44	3.24	0.36	9.12	0.00E+00	0.00E+00	Up
ENSG00000163219.12	ARHGAP25	144.84	87.38	125.57	126.93	132.3	776.48	1.12	0.12	9.01	0.00E+00	0.00E+00	NC
ENSG00000183607.10	GKN2	12.24	0	0	0	0.11	25.13	8.33	2.62	3.18	1.50E-03	4.80E-03	NC
ENSG00000198380.12	GFPT1	96.29	77.52	87.47	86.51	68.14	538.08	1.32	0.24	5.39	0.00E+00	0.00E+00	NC
ENSG00000169599.12	NFU1	3.26	15.15	40.33	36.53	48.17	111.94	-0.88	0.87	-1.01	3.14E-01	4.58E-01	NC
ENSG00000115977.19	AAK1	97.51	106.76	211.81	181.76	250.1	844.17	0.19	0.26	0.75	4.54E-01	6.14E-01	NC
ENSG00000196975.16	ANXA4	100.37	62.36	200.94	221.59	182.3	706.83	-0.07	0.16	-0.42	6.73E-01	8.04E-01	NC
ENSG00000087338.5	GMCL1	13.87	13.39	36.1	38.74	38.55	118.7	-0.28	0.36	-0.78	4.37E-01	5.97E-01	NC
ENSG00000124380.11	SNRNP27	8.98	11.28	29.09	28.89	31.72	102.13	-0.23	0.24	-0.97	3.31E-01	4.77E-01	NC
ENSG00000059728.11	MXD1	288.87	51.44	44.41	46.09	40.09	856.76	3.12	0.63	4.94	0.00E+00	0.00E+00	NC
ENSG00000179818.14	PCBP1-AS1	25.7	14.8	18.74	22.31	18.43	138.63	1.34	0.25	5.3	0.00E+00	0.00E+00	NC
ENSG00000115998.7	C2orf42	7.34	7.4	16.02	16.21	17.85	62.99	0.12	0.28	0.44	6.59E-01	7.93E-01	NC
ENSG00000116001.16	TIA1	35.9	44.04	108.88	124.44	124.87	374.58	-0.37	0.37	-1	3.18E-01	4.62E-01	NC
ENSG00000116005.12	PCYOX1	10.61	7.05	67.12	82.16	88.88	169.13	-1.88	0.28	-6.65	0.00E+00	0.00E+00	NC
ENSG00000143977.14	SNRPG	20.81	27.48	27.87	33.36	29.7	172.92	1	0.27	3.71	2.00E-04	8.00E-04	NC
ENSG00000035141.8	FAM136A	15.5	14.09	52.1	48.11	47.22	163.95	-0.35	0.26	-1.34	1.81E-01	2.91E-01	NC
ENSG00000163235.16	TGFA	10.61	0	7.28	12.06	16.9	39.44	-0.25	1.33	-0.19	8.50E-01	9.16E-01	NC
ENSG00000144043.12	TEX261	5.71	9.87	120.85	106.76	129.11	229.13	-2.55	0.42	-6.14	0.00E+00	0.00E+00	NC
ENSG00000124357.13	NAGK	124.44	92.31	269.19	215.12	211.68	918.92	0.2	0.14	1.4	1.61E-01	2.64E-01	NC
ENSG00000124383.9	MPHOSPH10	26.11	7.05	41.4	41	36.49	142.95	-0.02	0.59	-0.04	9.71E-01	9.85E-01	NC
ENSG00000075292.19	ZNF638	126.48	112.4	148.55	156.67	169.03	815.75	0.81	0.21	3.96	1.00E-04	3.00E-04	NC
ENSG00000135636.14	DYSF	68.55	8.1	2.27	11	7.34	170.57	3.5	0.86	4.06	0.00E+00	2.00E-04	NC
ENSG00000144036.15	EXOC6B	3.26	19.03	34.22	28.17	32.41	108.19	-0.15	0.77	-0.2	8.44E-01	9.12E-01	NC
ENSG00000135631.16	RAB11FIP5	3.26	4.93	6.32	7.32	6.18	37.55	0.78	0.49	1.59	1.11E-01	1.93E-01	NC
ENSG00000135617.4	PRADC1	6.53	7.75	16.32	12.76	18.21	58.98	0.13	0.42	0.32	7.48E-01	8.52E-01	NC
ENSG00000135624.16	CCT7	32.64	13.74	161.99	159.65	164.67	370.32	-1.54	0.23	-6.77	0.00E+00	0.00E+00	NC
ENSG00000116127.18	ALMS1	68.95	63.42	35.02	37.35	36.1	403.6	2.19	0.12	18.46	0.00E+00	0.00E+00	Up
ENSG00000144034.15	TPRKB	9.79	8.1	21.23	23.85	23.71	75.09	-0.11	0.29	-0.37	7.12E-01	8.29E-01	NC
ENSG00000144048.10	DUSP11	37.13	14.8	27.46	31.85	28.88	165.56	1.01	0.3	3.32	9.00E-04	3.20E-03	NC
ENSG00000124356.16	STAMBP	32.64	9.87	62.26	50.97	61.61	198.13	-0.19	0.42	-0.45	6.56E-01	7.92E-01	NC
ENSG00000114956.20	DGUOK	22.44	14.8	31.19	30.53	36.38	139.93	0.45	0.21	2.09	3.68E-02	7.72E-02	NC
ENSG00000187605.15	TET3	89.76	21.85	83.21	92.49	78.77	387.55	0.54	0.49	1.1	2.71E-01	4.06E-01	NC
ENSG00000114978.18	MOB1A	370.47	283.99	450.63	513.25	462.44	2347.11	0.71	0.11	6.46	0.00E+00	0.00E+00	NC
ENSG00000065911.12	MTHFD2	28.56	23.96	92.79	105.96	70.37	274.32	-0.48	0.29	-1.62	1.05E-01	1.84E-01	NC
ENSG00000204843.12	DCTN1	14.28	25.02	159.57	139.44	153.27	337.85	-1.61	0.35	-4.56	0.00E+00	0.00E+00	NC
ENSG00000115282.20	TTC31	12.24	11.98	50.17	50.36	53.82	140.42	-0.79	0.21	-3.78	2.00E-04	7.00E-04	NC
ENSG00000115289.14	PCGF1	11.02	4.93	21.79	19.07	21.8	66.13	-0.23	0.41	-0.54	5.86E-01	7.43E-01	NC
ENSG00000115307.17	AUP1	32.23	24.66	160.88	140.79	158.1	383.94	-1.14	0.16	-6.95	0.00E+00	0.00E+00	NC
ENSG00000115318.12	LOXL3	8.98	1.06	34.19	30.46	41.49	81.32	-1.53	0.76	-2.01	4.42E-02	9.02E-02	NC
ENSG00000115325.13	DOK1	22.03	4.93	87.9	72.92	94.81	193.78	-1.52	0.51	-2.99	2.80E-03	8.60E-03	NC
ENSG00000159399.9	HK2	38.35	71.88	501.71	425.31	437.74	1009.93	-1.66	0.41	-4.09	0.00E+00	2.00E-04	NC
ENSG00000115350.12	POLE4	11.83	26.07	29.87	25.1	31.07	153.49	0.84	0.47	1.8	7.14E-02	1.34E-01	NC
ENSG00000115364.14	MRPL19	43.66	17.26	52	58.24	53.22	239.66	0.44	0.29	1.5	1.33E-01	2.25E-01	NC
ENSG00000005436.14	GCFC2	11.42	15.86	17.31	16.52	18.47	108.84	1.08	0.35	3.13	1.80E-03	5.70E-03	NC
ENSG00000163541.12	SUCLG1	19.58	45.8	76.67	72.68	79.33	289.28	0.1	0.55	0.19	8.48E-01	9.14E-01	NC
ENSG00000115423.18	DNAH6	5.71	4.23	1.73	1.51	0.58	25.69	3.21	0.58	5.56	0.00E+00	0.00E+00	NC
ENSG00000034510.6	TMSB10	464.32	683.9	488.08	485.68	523.73	3836.97	1.56	0.33	4.73	0.00E+00	0.00E+00	NC
ENSG00000176407.18	KCMF1	39.99	49.33	76.33	71.57	75.89	347.56	0.58	0.21	2.72	6.60E-03	1.84E-02	NC
ENSG00000152291.14	TGOLN2	71.81	77.52	1336.36	1193.03	1486.56	2474.92	-2.86	0.2	-14.38	0.00E+00	0.00E+00	Down
ENSG00000042445.14	RETSAT	13.87	1.41	97.4	106.11	95.18	184.03	-2.77	0.84	-3.31	9.00E-04	3.20E-03	NC
ENSG00000115459.18	ELMOD3	4.9	13.74	43.45	44.34	43.57	112.77	-0.98	0.58	-1.69	9.15E-02	1.65E-01	NC
ENSG00000042493.16	CAPG	53.86	97.95	791.11	807.3	720.31	1607.35	-2	0.38	-5.27	0.00E+00	0.00E+00	NC
ENSG00000168906.13	MAT2A	121.18	81.04	301.06	350.44	277.48	970.87	-0.38	0.16	-2.3	2.17E-02	5.03E-02	NC
ENSG00000115486.12	GGCX	5.71	4.23	58.89	48.87	65.15	117.72	-2.23	0.35	-6.3	0.00E+00	0.00E+00	NC
ENSG00000118640.11	VAMP8	191.77	192.03	298.57	274.74	320.04	1463.37	0.68	0.15	4.62	0.00E+00	0.00E+00	NC
ENSG00000168899.5	VAMP5	34.68	11.98	11.57	10.19	16.26	138.48	2.16	0.41	5.26	0.00E+00	0.00E+00	NC
ENSG00000168894.10	RNF181	49.78	33.12	66.61	57.31	70.97	308.03	0.62	0.18	3.43	6.00E-04	2.20E-03	NC
ENSG00000168883.20	USP39	19.58	11.28	57.98	64.82	64.79	175.48	-0.74	0.2	-3.77	2.00E-04	7.00E-04	NC
ENSG00000168887.11	C2orf68	32.64	7.05	33.44	34.17	34.15	142.49	0.36	0.51	0.71	4.80E-01	6.42E-01	NC
ENSG00000168878.18	SFTPB	113.43	0	0.85	1.78	0.41	242.02	6.84	1.88	3.63	3.00E-04	1.10E-03	NC
ENSG00000115523.16	GNLY	61.61	4.93	6.52	7.26	4.66	157.55	3.54	1.16	3.05	2.30E-03	7.30E-03	NC
ENSG00000115525.18	ST3GAL5	57.94	14.8	62.31	76.28	54.7	272.29	0.37	0.48	0.76	4.50E-01	6.10E-01	NC
ENSG00000068654.16	POLR1A	14.69	9.16	84.88	76.26	75.51	183.08	-1.45	0.22	-6.7	0.00E+00	0.00E+00	NC
ENSG00000132300.19	PTCD3	40.8	19.03	86.27	80.92	87.27	283.37	-0.23	0.21	-1.13	2.61E-01	3.94E-01	NC
ENSG00000132305.20	IMMT	64.87	47.21	162.49	157.13	160.82	546.89	-0.21	0.11	-1.88	5.96E-02	1.15E-01	NC
ENSG00000132313.15	MRPL35	39.17	38.76	45.62	47.14	45.42	283.46	1.09	0.17	6.56	0.00E+00	0.00E+00	NC
ENSG00000115548.17	KDM3A	49.78	46.51	107.54	112.86	127.09	435.15	0.05	0.16	0.33	7.39E-01	8.46E-01	NC
ENSG00000115561.16	CHMP3	21.22	34.18	106	114.81	122	330.61	-0.66	0.33	-2.03	4.20E-02	8.63E-02	NC
ENSG00000239305.7	RNF103	14.69	2.11	19.69	22.79	21.9	77.54	-0.05	0.68	-0.07	9.45E-01	9.70E-01	NC
ENSG00000153561.13	RMND5A	38.35	12.68	65	62.62	74.39	231.01	-0.15	0.47	-0.33	7.42E-01	8.48E-01	NC
ENSG00000222041.11	CYTOR	17.14	4.93	4.64	5	3.76	54.04	2.42	0.49	4.96	0.00E+00	0.00E+00	NC
ENSG00000172086.9	KRCC1	38.35	10.57	35.22	45.99	53.47	181.84	0.28	0.46	0.6	5.47E-01	7.11E-01	NC
ENSG00000153574.9	RPIA	4.08	11.98	34.56	37.37	34.59	100.79	-0.72	0.77	-0.93	3.51E-01	5.01E-01	NC
ENSG00000211592.8	IGKC	251.33	0	2.07	1.22	2.23	565.85	7.2	1.97	3.65	3.00E-04	1.10E-03	NC
ENSG00000172005.11	MAL	55.49	11.28	1.68	0.62	1.98	152.98	5.67	0.82	6.93	0.00E+00	0.00E+00	Up
ENSG00000144029.12	MRPS5	39.17	34.88	75.82	68.95	70.52	293.69	0.31	0.23	1.37	1.70E-01	2.76E-01	NC
ENSG00000144026.12	ZNF514	7.34	9.16	28.5	35.74	40.07	94.87	-0.78	0.33	-2.38	1.71E-02	4.17E-02	NC
ENSG00000115042.10	FAHD2A	12.24	11.98	18.15	20.03	18.21	87.45	0.66	0.22	3.02	2.50E-03	7.80E-03	NC
ENSG00000232931.6	LINC00342	47.74	36.64	19.76	17.77	14.07	235.5	2.57	0.2	12.85	0.00E+00	0.00E+00	Up
ENSG00000174501.14	ANKRD36C	37.13	14.45	4.18	4.75	3.39	132.23	3.89	0.34	11.57	0.00E+00	0.00E+00	Up
ENSG00000084090.13	STARD7	86.5	63.77	271.51	279.32	279.97	805.84	-0.6	0.09	-6.63	0.00E+00	0.00E+00	NC
ENSG00000135956.8	TMEM127	22.85	24.66	334.3	310.47	364.64	660.25	-2.45	0.23	-10.64	0.00E+00	0.00E+00	Down
ENSG00000144021.3	CIAO1	57.94	21.14	173.36	166.58	181.2	476.86	-0.83	0.38	-2.17	2.97E-02	6.57E-02	NC
ENSG00000144028.15	SNRNP200	28.15	38.05	327.93	348.2	344.58	726.91	-1.89	0.38	-4.94	0.00E+00	0.00E+00	NC
ENSG00000196843.16	ARID5A	4.9	3.52	75.37	76.66	63.22	134.83	-2.79	0.35	-8.05	0.00E+00	0.00E+00	Down
ENSG00000114982.19	KANSL3	22.03	53.91	108.22	113.49	103.46	373.86	-0.14	0.48	-0.29	7.70E-01	8.66E-01	NC
ENSG00000114988.11	LMAN2L	6.53	4.93	34.73	31.22	35.82	87.28	-1.24	0.32	-3.89	1.00E-04	4.00E-04	NC
ENSG00000158158.12	CNNM4	5.71	2.82	49.56	48.97	33.84	91.53	-2.08	0.41	-5.14	0.00E+00	0.00E+00	NC
ENSG00000135976.19	ANKRD36	8.16	9.87	12.21	10.85	12.63	68.76	0.94	0.28	3.39	7.00E-04	2.60E-03	NC
ENSG00000196912.12	ANKRD36B	18.77	0	5.45	3.74	3.16	42.74	2.1	1.48	1.42	1.57E-01	2.57E-01	NC
ENSG00000135940.7	COX5B	31.42	33.12	70.52	60.91	69.81	258.01	0.19	0.25	0.74	4.59E-01	6.21E-01	NC
ENSG00000115073.8	ACTR1B	13.06	5.64	87.2	68.21	84.25	172.8	-1.83	0.29	-6.21	0.00E+00	0.00E+00	NC
ENSG00000075568.17	TMEM131	55.49	52.15	155.17	142.62	167.59	525.22	-0.21	0.15	-1.39	1.66E-01	2.70E-01	NC
ENSG00000168658.19	VWA3B	8.98	11.28	3.28	1.73	0.56	64.22	3.95	0.7	5.62	0.00E+00	0.00E+00	NC
ENSG00000040933.15	INPP4A	45.29	17.62	141.81	143.12	136.49	365.64	-0.98	0.34	-2.87	4.20E-03	1.22E-02	NC
ENSG00000183513.9	COA5	24.48	8.46	29.23	34.32	34.4	138.36	0.33	0.39	0.85	3.94E-01	5.49E-01	NC
ENSG00000115446.11	UNC50	3.67	4.23	67.44	70.42	66.62	125.92	-2.8	0.33	-8.58	0.00E+00	0.00E+00	Down
ENSG00000071073.13	MGAT4A	125.26	64.83	162.79	233.98	237.08	792.63	0.08	0.25	0.32	7.48E-01	8.52E-01	NC
ENSG00000226791.7	LINC02611	4.49	4.93	5.82	8.28	11.3	40.44	0.53	0.47	1.12	2.61E-01	3.95E-01	NC
ENSG00000196872.12	KIAA1211L	6.53	12.33	3.54	4.23	7	64.46	2.41	0.53	4.53	0.00E+00	0.00E+00	NC
ENSG00000135951.15	TSGA10	6.53	7.75	2.66	1.42	1.5	41.21	3.28	0.44	7.45	0.00E+00	0.00E+00	Up
ENSG00000158411.11	MITD1	24.48	5.64	30.9	32.01	29.93	120.1	0.16	0.5	0.33	7.43E-01	8.49E-01	NC
ENSG00000185414.20	MRPL30	13.87	13.74	31.34	32.04	32.69	127.12	0.11	0.2	0.53	5.95E-01	7.49E-01	NC
ENSG00000115514.12	TXNDC9	22.03	13.39	35.29	40.11	35.18	148.59	0.23	0.19	1.2	2.29E-01	3.54E-01	NC
ENSG00000158417.11	EIF5B	97.51	48.62	156.12	151.87	142.25	599.02	0.23	0.19	1.16	2.46E-01	3.76E-01	NC
ENSG00000135945.10	REV1	28.56	22.2	51.1	51.2	50.77	202.44	0.28	0.14	1.94	5.21E-02	1.03E-01	NC
ENSG00000115539.14	PDCL3	33.46	23.96	31.05	25.63	27.08	185.44	1.3	0.36	3.64	3.00E-04	1.10E-03	NC
ENSG00000170485.17	NPAS2	7.34	4.93	3.23	0.24	0.37	29.77	3.41	1.02	3.34	8.00E-04	2.90E-03	NC
ENSG00000071082.11	RPL31	1301.15	1542.56	237.89	226.84	286.64	7845.77	3.84	0.23	16.73	0.00E+00	0.00E+00	Up
ENSG00000204634.12	TBC1D8	34.27	9.51	33.34	21.69	45.38	168.15	0.71	0.55	1.31	1.92E-01	3.05E-01	NC
ENSG00000158435.8	CNOT11	14.28	19.73	47.28	47.91	45.59	160.67	-0.14	0.22	-0.66	5.06E-01	6.70E-01	NC
ENSG00000163162.9	RNF149	67.32	35.59	451.22	430.37	456.23	937.42	-1.91	0.21	-9.01	0.00E+00	0.00E+00	NC
ENSG00000071054.16	MAP4K4	70.99	76.46	120.88	170.47	144.53	595.72	0.3	0.23	1.33	1.83E-01	2.94E-01	NC
ENSG00000115590.14	IL1R2	45.7	2.82	2.05	3.07	0.67	112.88	4.78	1.06	4.53	0.00E+00	0.00E+00	NC
ENSG00000115594.12	IL1R1	39.99	15.86	8.14	21.11	8.85	146.21	2.28	0.5	4.52	0.00E+00	0.00E+00	NC
ENSG00000115602.17	IL1RL1	19.58	0	0.14	0.14	0.34	38.88	6.52	1.57	4.15	0.00E+00	2.00E-04	NC
ENSG00000115604.10	IL18R1	10.61	0	4.49	4.49	3.61	29.05	1.39	1.3	1.07	2.86E-01	4.24E-01	NC
ENSG00000135972.9	MRPS9	9.38	1.41	12.82	12.34	12.99	47.3	0.02	0.58	0.03	9.74E-01	9.86E-01	NC
ENSG00000135966.13	TGFBRAP1	25.7	10.57	63.04	64.13	60.64	183.67	-0.56	0.31	-1.82	6.94E-02	1.31E-01	NC
ENSG00000135974.10	C2orf49	6.53	5.64	29.56	30.65	30.82	75.37	-1.03	0.28	-3.72	2.00E-04	8.00E-04	NC
ENSG00000115641.19	FHL2	11.42	0.7	0.54	0.55	0.69	26.19	4.39	0.95	4.62	0.00E+00	0.00E+00	NC
ENSG00000071051.14	NCK2	13.87	16.21	12.17	11.72	12.93	106.4	1.69	0.3	5.55	0.00E+00	0.00E+00	NC
ENSG00000115652.14	UXS1	18.77	12.68	82.67	73.4	68.65	198.45	-0.96	0.21	-4.62	0.00E+00	0.00E+00	NC
ENSG00000198203.10	SULT1C2	3.26	10.57	4.54	4.8	0.3	40.14	2.42	1.04	2.32	2.05E-02	4.81E-02	NC
ENSG00000135968.20	GCC2	102	82.8	118.12	121.02	119.76	652.02	0.92	0.08	11.32	0.00E+00	0.00E+00	NC
ENSG00000169756.16	LIMS1	147.29	119.8	118.44	143.67	105.66	879.57	1.43	0.14	9.94	0.00E+00	0.00E+00	NC
ENSG00000153201.16	RANBP2	124.85	89.85	217.16	251.3	216.36	887.64	0.18	0.12	1.54	1.24E-01	2.12E-01	NC
ENSG00000163006.12	CCDC138	8.98	0.7	2.32	2.23	1.55	24.59	2.37	0.84	2.83	4.70E-03	1.35E-02	NC
ENSG00000186522.15	SEPTIN10	29.78	41.22	91.49	103.66	101.7	338.69	-0.15	0.28	-0.55	5.85E-01	7.42E-01	NC
ENSG00000198142.5	SOWAHC	19.99	11.28	77.65	78.49	87.29	209.21	-1.09	0.21	-5.07	0.00E+00	0.00E+00	NC
ENSG00000175701.10	MTLN	26.11	14.09	11.55	4.97	9.25	107.5	2.42	0.42	5.75	0.00E+00	0.00E+00	NC
ENSG00000169679.15	BUB1	6.94	1.41	10.87	10.02	9	33.3	-0.08	0.46	-0.17	8.68E-01	9.27E-01	NC
ENSG00000172965.16	MIR4435-2HG	10.61	7.05	9.43	6.36	7.11	59.96	1.54	0.35	4.37	0.00E+00	1.00E-04	NC
ENSG00000153094.23	BCL2L11	12.24	10.57	34.41	41.57	47.48	123.25	-0.54	0.29	-1.9	5.74E-02	1.12E-01	NC
ENSG00000153107.13	ANAPC1	26.93	30.3	33.22	33.02	28.18	190.36	1.15	0.22	5.2	0.00E+00	0.00E+00	NC
ENSG00000153208.17	MERTK	55.9	4.93	1.24	3.99	1.87	143.7	4.84	0.92	5.27	0.00E+00	0.00E+00	NC
ENSG00000225496.1	AC104651.1	11.42	0	0	0.03	0	19.93	9.74	2.51	3.87	1.00E-04	5.00E-04	NC
ENSG00000153214.11	TMEM87B	12.24	4.93	65.61	74.45	70.99	160.85	-1.63	0.43	-3.78	2.00E-04	7.00E-04	NC
ENSG00000144161.13	ZC3H8	11.02	2.11	7.99	9.51	7.28	40.47	0.77	0.63	1.22	2.23E-01	3.47E-01	NC
ENSG00000286545.1	AC092645.2	11.42	3.52	1.37	1.27	0.99	40.92	3.91	0.49	8.05	0.00E+00	0.00E+00	Up
ENSG00000188177.14	ZC3H6	40.39	22.55	21.86	25.22	26.16	207.64	1.7	0.26	6.6	0.00E+00	0.00E+00	NC
ENSG00000169629.12	RGPD8	9.79	0.7	11.45	4.32	8.95	37.53	0.53	0.96	0.55	5.82E-01	7.40E-01	NC
ENSG00000114999.8	TTL	54.67	38.76	145.16	154.02	129.69	464.65	-0.32	0.14	-2.31	2.08E-02	4.85E-02	NC
ENSG00000125611.15	CHCHD5	8.16	6.34	12.24	8.28	11.55	54.56	0.74	0.35	2.12	3.43E-02	7.29E-02	NC
ENSG00000231747.1	AC079922.1	6.53	6.34	0.37	0.63	0.71	33.36	4.77	0.7	6.77	0.00E+00	0.00E+00	NC
ENSG00000144136.11	SLC20A1	29.78	29.6	74.86	96.1	62.38	271.41	-0.1	0.27	-0.36	7.19E-01	8.33E-01	NC
ENSG00000115008.5	IL1A	26.11	27.13	90.93	56.73	45.96	243.84	0.07	0.34	0.22	8.29E-01	9.03E-01	NC
ENSG00000125538.12	IL1B	25.3	41.22	128.37	92.73	96.34	334.62	-0.37	0.38	-0.96	3.35E-01	4.83E-01	NC
ENSG00000136688.11	IL36G	8.98	0	0.24	0.15	0.04	18.22	5.95	1.5	3.96	1.00E-04	3.00E-04	NC
ENSG00000136695.14	IL36RN	10.61	1.41	0.07	0	0	25.5	9.08	1.68	5.41	0.00E+00	0.00E+00	NC
ENSG00000136689.18	IL1RN	144.03	54.97	173.71	100.63	178.46	721.39	0.63	0.38	1.64	1.00E-01	1.77E-01	NC
ENSG00000125637.16	PSD4	4.9	7.05	177.94	139.26	179.89	295.2	-3.37	0.45	-7.46	0.00E+00	0.00E+00	Down
ENSG00000189223.15	PAX8-AS1	11.42	6.34	69.14	80.14	85.45	161.3	-1.93	0.35	-5.49	0.00E+00	0.00E+00	NC
ENSG00000136682.15	CBWD2	30.19	15.86	16.66	20.9	19.63	142.75	1.53	0.22	6.99	0.00E+00	0.00E+00	NC
ENSG00000240356.6	RPL23AP7	4.49	9.87	9.13	6.96	7.35	61.56	1.51	0.65	2.35	1.90E-02	4.55E-02	NC
ENSG00000115084.14	SLC35F5	24.89	18.67	107.54	118.89	99.39	279.09	-1.03	0.18	-5.87	0.00E+00	0.00E+00	NC
ENSG00000115091.12	ACTR3	283.98	158.91	579.62	601.45	601.92	2055.49	-0.14	0.17	-0.82	4.10E-01	5.67E-01	NC
ENSG00000088205.13	DDX18	143.62	82.45	138.76	139.16	140.38	776.65	0.96	0.16	6.12	0.00E+00	0.00E+00	NC
ENSG00000125633.11	CCDC93	66.91	35.23	137.93	113	99.24	424.95	0.02	0.25	0.09	9.29E-01	9.61E-01	NC
ENSG00000125629.15	INSIG2	16.32	3.52	33.37	32.91	28.86	96.16	-0.48	0.49	-0.97	3.30E-01	4.76E-01	NC
ENSG00000019169.10	MARCO	47.33	95.49	2304.95	2015.72	1830.31	3591.19	-3.45	0.45	-7.61	0.00E+00	0.00E+00	Down
ENSG00000259094.1	AC013457.1	5.71	11.28	8.6	19.45	203.52	175.63	-1.6	1.1	-1.45	1.47E-01	2.44E-01	NC
ENSG00000115107.20	STEAP3	10.2	2.82	109.15	117.95	96.04	196.79	-2.84	0.34	-8.36	0.00E+00	0.00E+00	Down
ENSG00000155368.16	DBI	147.7	189.91	150.29	158.81	125.48	1150.46	1.61	0.27	6	0.00E+00	0.00E+00	NC
ENSG00000163075.13	CFAP221	17.14	4.23	1.52	1.15	0.15	50.93	4.67	0.85	5.48	0.00E+00	0.00E+00	NC
ENSG00000088179.9	PTPN4	22.03	10.57	24.33	26.2	24.5	115.33	0.63	0.22	2.86	4.20E-03	1.23E-02	NC
ENSG00000115109.14	EPB41L5	8.98	4.58	9.79	9.8	11.4	45.75	0.6	0.37	1.65	9.86E-02	1.75E-01	NC
ENSG00000226479.4	TMEM185B	5.71	14.09	49.21	53.22	49.48	141.16	-0.82	0.54	-1.54	1.23E-01	2.11E-01	NC
ENSG00000144118.14	RALB	44.47	60.96	189.98	167.88	188.5	556.72	-0.47	0.27	-1.72	8.45E-02	1.54E-01	NC
ENSG00000115112.8	TFCP2L1	24.07	17.62	27.41	39.01	20.44	144.46	0.76	0.35	2.14	3.27E-02	7.02E-02	NC
ENSG00000074054.18	CLASP1	73.03	64.48	51.8	57.48	47.54	427.53	1.69	0.15	11.43	0.00E+00	0.00E+00	NC
ENSG00000155438.12	NIFK	39.58	10.57	31.87	31.39	30.36	175.92	0.96	0.5	1.93	5.31E-02	1.05E-01	NC
ENSG00000211460.12	TSN	39.58	25.37	102.9	108.42	110.27	330.76	-0.44	0.14	-3.2	1.40E-03	4.70E-03	NC
